CUSEC,total,unipersonal,h_65+,h_65-,m_65+,m_65-,gana,pc_unipersonal,pc_h_65+,pc_h_65-,pc_m_65+,pc_m_65-
0400101001,567,198,36,72,54,36,1,"34,92","6,35","12,7","9,52","6,35"
0400201001,582,240,33,102,78,45,1,"41,24","5,67","17,53","13,4","7,73"
0400301001,312,69,9,12,9,21,2,"22,12","2,88","3,85","2,88","6,73"
0400301002,624,120,15,45,33,24,2,"19,23","2,4","7,21","5,29","3,85"
0400301003,861,225,12,102,81,66,1,"26,13","1,39","11,85","9,41","7,67"
0400301004,882,198,6,90,72,57,4,"22,45","0,68","10,2","8,16","6,46"
0400301005,813,210,15,90,63,63,2,"25,83","1,85","11,07","7,75","7,75"
0400301006,591,153,18,42,33,30,2,"25,89","3,05","7,11","5,58","5,08"
0400301007,336,72,9,12,9,24,2,"21,43","2,68","3,57","2,68","7,14"
0400302001,420,87,9,24,21,18,2,"20,71","2,14","5,71",5,"4,29"
0400302002,543,126,12,42,36,24,2,"23,2","2,21","7,73","6,63","4,42"
0400302003,333,72,9,33,27,6,2,"21,62","2,7","9,91","8,11","1,8"
0400303001,420,105,12,39,33,15,"1, 2",25,"2,86","9,29","7,86","3,57"
0400303002,399,93,15,39,30,15,1,"23,31","3,76","9,77","7,52","3,76"
0400303003,939,198,15,84,60,48,3,"21,09","1,6","8,95","6,39","5,11"
0400304001,330,111,24,48,42,15,1,"33,64","7,27","14,55","12,73","4,55"
0400305001,558,102,15,33,21,24,2,"18,28","2,69","5,91","3,76","4,3"
0400305002,831,147,18,57,42,33,2,"17,69","2,17","6,86","5,05","3,97"
0400401001,354,129,27,42,33,18,2,"36,44","7,63","11,86","9,32","5,08"
0400501001,279,102,21,33,27,18,1,"36,56","7,53","11,83","9,68","6,45"
0400601001,600,168,21,66,57,33,1,28,"3,5",11,"9,5","5,5"
0400601002,801,207,18,78,54,51,1,"25,84","2,25","9,74","6,74","6,37"
0400602001,1167,279,30,120,78,66,1,"23,91","2,57","10,28","6,68","5,66"
0400602002,417,93,9,42,30,9,"1, 2","22,3","2,16","10,07","7,19","2,16"
0400603001,363,126,21,36,24,24,1,"34,71","5,79","9,92","6,61","6,61"
0400604001,1320,309,69,99,75,66,2,"23,41","5,23","7,5","5,68",5
0400701001,426,192,39,72,57,42,1,"45,07","9,15","16,9","13,38","9,86"
0400801001,246,99,33,33,30,15,1,"40,24","13,41","13,41","12,2","6,1"
0400901001,72,39,9,15,12,9,1,"54,17","12,5","20,83","16,67","12,5"
0401001001,321,129,15,57,45,27,1,"40,19","4,67","17,76","14,02","8,41"
0401101001,1005,270,24,111,87,69,2,"26,87","2,39","11,04","8,66","6,87"
0401101002,498,150,9,48,33,27,"1, 2","30,12","1,81","9,64","6,63","5,42"
0401201001,96,36,6,12,6,6,1,"37,5","6,25","12,5","6,25","6,25"
0401301001,804,273,33,90,75,75,1,"33,96","4,1","11,19","9,33","9,33"
0401301003,522,168,12,54,45,39,1,"32,18","2,3","10,34","8,62","7,47"
0401302001,618,213,12,60,45,54,1,"34,47","1,94","9,71","7,28","8,74"
0401302002,327,117,12,18,9,36,1,"35,78","3,67","5,5","2,75","11,01"
0401302003,291,102,12,18,18,30,1,"35,05","4,12","6,19","6,19","10,31"
0401302004,513,153,18,36,33,27,1,"29,82","3,51","7,02","6,43","5,26"
0401302005,474,147,18,27,24,24,2,"31,01","3,8","5,7","5,06","5,06"
0401302006,498,159,15,33,27,33,1,"31,93","3,01","6,63","5,42","6,63"
0401303001,621,177,15,36,33,48,2,"28,5","2,42","5,8","5,31","7,73"
0401303002,423,117,15,45,42,18,"1, 2","27,66","3,55","10,64","9,93","4,26"
0401303003,516,102,12,51,45,18,5 o más,"19,77","2,33","9,88","8,72","3,49"
0401303006,288,54,0,18,15,12,2,"18,75",0,"6,25","5,21","4,17"
0401303007,432,96,15,42,33,21,2,"22,22","3,47","9,72","7,64","4,86"
0401303008,318,81,9,24,21,12,1,"25,47","2,83","7,55","6,6","3,77"
0401303009,447,135,15,63,51,30,1,"30,2","3,36","14,09","11,41","6,71"
0401303010,426,81,9,42,30,15,5 o más,"19,01","2,11","9,86","7,04","3,52"
0401303011,486,126,12,45,36,21,2,"25,93","2,47","9,26","7,41","4,32"
0401304001,354,90,6,27,21,21,2,"25,42","1,69","7,63","5,93","5,93"
0401304002,570,183,18,60,45,42,1,"32,11","3,16","10,53","7,89","7,37"
0401304003,579,186,24,39,36,33,1,"32,12","4,15","6,74","6,22","5,7"
0401304004,378,129,15,27,24,39,1,"34,13","3,97","7,14","6,35","10,32"
0401304005,300,108,12,33,30,27,1,36,4,11,10,9
0401304006,387,147,15,33,27,36,1,"37,98","3,88","8,53","6,98","9,3"
0401304007,345,111,6,27,18,36,1,"32,17","1,74","7,83","5,22","10,43"
0401305002,852,264,27,84,69,66,2,"30,99","3,17","9,86","8,1","7,75"
0401305003,609,156,12,63,42,42,1,"25,62","1,97","10,34","6,9","6,9"
0401305004,573,117,12,54,45,18,3,"20,42","2,09","9,42","7,85","3,14"
0401305005,603,150,18,45,45,39,2,"24,88","2,99","7,46","7,46","6,47"
0401305006,435,132,15,36,30,30,1,"30,34","3,45","8,28","6,9","6,9"
0401305007,480,180,12,54,42,45,1,"37,5","2,5","11,25","8,75","9,38"
0401305008,459,159,18,45,36,33,1,"34,64","3,92","9,8","7,84","7,19"
0401305009,387,120,12,30,21,24,1,"31,01","3,1","7,75","5,43","6,2"
0401305010,399,129,9,39,24,24,1,"32,33","2,26","9,77","6,02","6,02"
0401305011,654,138,15,60,42,24,2,"21,1","2,29","9,17","6,42","3,67"
0401306001,426,147,18,51,39,39,1,"34,51","4,23","11,97","9,15","9,15"
0401306002,414,138,12,48,39,39,1,"33,33","2,9","11,59","9,42","9,42"
0401306003,243,60,9,12,9,18,2,"24,69","3,7","4,94","3,7","7,41"
0401306004,543,168,12,48,42,57,1,"30,94","2,21","8,84","7,73","10,5"
0401306005,558,141,15,51,42,39,2,"25,27","2,69","9,14","7,53","6,99"
0401306006,1059,237,9,117,93,63,1,"22,38","0,85","11,05","8,78","5,95"
0401306007,795,195,18,66,57,45,1,"24,53","2,26","8,3","7,17","5,66"
0401306008,1029,273,24,84,63,99,1,"26,53","2,33","8,16","6,12","9,62"
0401306009,489,153,12,51,36,33,1,"31,29","2,45","10,43","7,36","6,75"
0401306010,387,132,12,45,30,33,1,"34,11","3,1","11,63","7,75","8,53"
0401306011,483,153,18,48,39,42,1,"31,68","3,73","9,94","8,07","8,7"
0401306012,519,150,21,36,27,45,2,"28,9","4,05","6,94","5,2","8,67"
0401306013,813,264,27,75,66,54,1,"32,47","3,32","9,23","8,12","6,64"
0401306014,483,162,9,54,42,33,1,"33,54","1,86","11,18","8,7","6,83"
0401306015,315,90,9,24,21,27,2,"28,57","2,86","7,62","6,67","8,57"
0401306016,771,171,21,57,48,39,2,"22,18","2,72","7,39","6,23","5,06"
0401306017,633,180,24,51,42,45,1,"28,44","3,79","8,06","6,64","7,11"
0401306018,666,162,6,75,63,39,2,"24,32","0,9","11,26","9,46","5,86"
0401306019,666,168,12,75,63,48,2,"25,23","1,8","11,26","9,46","7,21"
0401306020,537,105,12,39,30,33,2,"19,55","2,23","7,26","5,59","6,15"
0401306021,441,81,6,42,30,27,5 o más,"18,37","1,36","9,52","6,8","6,12"
0401306022,753,156,6,75,63,60,4,"20,72","0,8","9,96","8,37","7,97"
0401306023,339,60,3,39,30,12,5 o más,"17,7","0,88","11,5","8,85","3,54"
0401306024,426,81,3,51,42,18,5 o más,"19,01","0,7","11,97","9,86","4,23"
0401306025,558,159,9,60,48,42,"1, 2","28,49","1,61","10,75","8,6","7,53"
0401306026,633,171,18,60,45,36,2,"27,01","2,84","9,48","7,11","5,69"
0401306027,321,111,9,36,30,21,1,"34,58","2,8","11,21","9,35","6,54"
0401306028,405,120,15,33,27,15,2,"29,63","3,7","8,15","6,67","3,7"
0401306029,720,249,21,81,63,63,1,"34,58","2,92","11,25","8,75","8,75"
0401306030,621,132,9,42,30,36,2,"21,26","1,45","6,76","4,83","5,8"
0401306031,495,66,9,39,30,15,5 o más,"13,33","1,82","7,88","6,06","3,03"
0401306032,429,66,6,27,21,12,3,"15,38","1,4","6,29","4,9","2,8"
0401306033,474,102,12,30,27,24,2,"21,52","2,53","6,33","5,7","5,06"
0401306034,588,81,3,36,30,30,4,"13,78","0,51","6,12","5,1","5,1"
0401306035,741,162,12,69,54,51,2,"21,86","1,62","9,31","7,29","6,88"
0401306036,573,150,3,66,54,60,4,"26,18","0,52","11,52","9,42","10,47"
0401306037,396,96,15,30,21,27,2,"24,24","3,79","7,58","5,3","6,82"
0401306038,570,123,12,42,33,36,"3, 4","21,58","2,11","7,37","5,79","6,32"
0401306039,792,168,9,66,60,69,2,"21,21","1,14","8,33","7,58","8,71"
0401306040,1014,246,9,147,120,75,2,"24,26","0,89","14,5","11,83","7,4"
0401306041,480,102,6,42,33,45,4,"21,25","1,25","8,75","6,88","9,38"
0401306042,624,171,6,78,63,63,1,"27,4","0,96","12,5","10,1","10,1"
0401307001,624,204,27,42,33,57,1,"32,69","4,33","6,73","5,29","9,13"
0401307002,408,147,24,36,30,30,1,"36,03","5,88","8,82","7,35","7,35"
0401307003,501,132,15,27,18,24,2,"26,35","2,99","5,39","3,59","4,79"
0401307004,438,162,21,39,27,36,1,"36,99","4,79","8,9","6,16","8,22"
0401307005,354,111,15,24,18,30,1,"31,36","4,24","6,78","5,08","8,47"
0401307006,450,117,12,27,24,33,2,26,"2,67",6,"5,33","7,33"
0401307007,603,195,30,45,33,51,1,"32,34","4,98","7,46","5,47","8,46"
